IdBundesland,IdLandkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,Meldedatum
5,05370,A35-A59,M,1,0,1583193600000
5,05370,A35-A59,M,1,0,1583193600000
5,05370,A35-A59,M,1,0,1583193600000
5,05370,A35-A59,W,1,0,1583193600000
5,05370,A60-A79,M,1,0,1583193600000
5,05370,A60-A79,W,1,0,1583193600000
5,05370,A60-A79,W,1,0,1583193600000
5,05374,A15-A34,M,1,0,1583193600000
5,05378,A35-A59,M,1,0,1583193600000
5,05378,A60-A79,M,1,0,1583193600000
5,05382,A05-A14,W,1,0,1583193600000
5,05382,A35-A59,W,1,0,1583193600000
5,05911,A15-A34,M,1,0,1583193600000
6,06431,A35-A59,W,1,0,1583193600000
6,06435,A35-A59,W,1,0,1583193600000
7,07312,A15-A34,M,1,0,1583193600000
8,08116,A15-A34,M,1,0,1583193600000
8,08116,A35-A59,M,1,0,1583193600000
8,08116,A35-A59,W,1,0,1583193600000
8,08119,A05-A14,W,1,0,1583193600000
8,08119,A35-A59,M,1,0,1583193600000
8,08119,A35-A59,M,1,0,1583193600000
8,08119,A60-A79,M,1,0,1583193600000
8,08119,A60-A79,M,1,0,1583193600000
8,08121,A35-A59,W,1,0,1583193600000
8,08136,A35-A59,W,1,0,1583193600000
8,08215,A15-A34,M,1,0,1583193600000
8,08315,A05-A14,W,1,0,1583193600000
8,08315,A35-A59,M,1,0,1583193600000
8,08315,A60-A79,M,1,0,1583193600000
8,08336,A35-A59,M,1,0,1583193600000
8,08417,A15-A34,W,1,0,1583193600000
8,08417,A35-A59,M,1,0,1583193600000
8,08421,A05-A14,M,1,0,1583193600000
8,08421,A35-A59,W,1,0,1583193600000
8,08436,A35-A59,M,1,0,1583193600000
9,09162,A35-A59,W,1,0,1583193600000
9,09175,A15-A34,M,1,0,1583193600000
9,09184,A05-A14,W,1,0,1583193600000
9,09184,A35-A59,M,1,0,1583193600000
9,09187,A35-A59,M,1,0,1583193600000
9,09275,A35-A59,M,1,0,1583193600000
11,11001,A15-A34,W,1,0,1583193600000
11,11001,A35-A59,M,1,0,1583193600000
11,11007,A15-A34,M,1,0,1583193600000
11,11008,A60-A79,M,1,0,1583193600000
11,11010,A35-A59,M,1,0,1583193600000
13,13075,A60-A79,M,1,0,1583193600000
13,13075,A60-A79,W,1,0,1583193600000
16,16075,A35-A59,M,1,0,1583193600000
2,02000,A35-A59,M,1,0,1583280000000
2,02000,A35-A59,W,1,0,1583280000000
2,02000,A35-A59,W,1,0,1583280000000
3,03241,A60-A79,M,1,0,1583280000000
3,03403,A35-A59,M,1,0,1583280000000
3,03456,A15-A34,M,1,0,1583280000000
3,03457,A15-A34,W,1,0,1583280000000
5,05111,A35-A59,M,1,0,1583280000000
5,05111,A35-A59,M,1,0,1583280000000
5,05112,A15-A34,W,1,0,1583280000000
5,05315,A35-A59,M,1,0,1583280000000
5,05315,A60-A79,M,1,0,1583280000000
5,05334,A15-A34,M,1,0,1583280000000
5,05334,A15-A34,M,1,0,1583280000000
5,05334,A15-A34,M,2,0,1583280000000
5,05334,A15-A34,M,1,0,1583280000000
5,05334,A15-A34,M,1,0,1583280000000
5,05334,A15-A34,M,1,0,1583280000000
5,05334,A15-A34,W,2,0,1583280000000
5,05334,A15-A34,W,1,0,1583280000000
5,05334,A15-A34,W,2,0,1583280000000
5,05334,A35-A59,M,1,0,1583280000000
5,05334,A35-A59,W,1,0,1583280000000
5,05334,A35-A59,W,1,0,1583280000000
5,05334,A60-A79,M,1,0,1583280000000
5,05334,A60-A79,M,1,0,1583280000000
5,05358,A15-A34,W,1,0,1583280000000
5,05358,A15-A34,W,1,0,1583280000000
5,05370,A15-A34,M,1,0,1583280000000
5,05370,A15-A34,M,2,0,1583280000000
5,05370,A15-A34,M,1,0,1583280000000
5,05370,A15-A34,M,1,0,1583280000000
5,05370,A15-A34,M,1,0,1583280000000
5,05370,A15-A34,M,1,0,1583280000000
5,05370,A15-A34,W,1,0,1583280000000
5,05370,A15-A34,W,1,0,1583280000000
5,05370,A15-A34,W,3,0,1583280000000
5,05370,A15-A34,W,6,0,1583280000000
5,05370,A35-A59,M,1,0,1583280000000
5,05370,A35-A59,M,1,0,1583280000000
5,05370,A35-A59,M,2,0,1583280000000
5,05370,A35-A59,M,2,0,1583280000000
5,05370,A35-A59,M,1,0,1583280000000
5,05370,A35-A59,M,2,0,1583280000000
5,05370,A35-A59,W,1,0,1583280000000
5,05370,A35-A59,W,1,0,1583280000000
5,05370,A35-A59,W,1,0,1583280000000
5,05370,A35-A59,W,1,0,1583280000000
5,05370,A35-A59,W,2,0,1583280000000
5,05370,A35-A59,W,1,0,1583280000000
5,05370,A35-A59,W,5,0,1583280000000
5,05370,A60-A79,M,1,0,1583280000000
5,05370,A60-A79,M,1,1,1583280000000
5,05382,A35-A59,M,1,0,1583280000000
5,05515,A15-A34,W,1,0,1583280000000
5,05515,A15-A34,W,1,0,1583280000000
5,05558,A05-A14,W,1,0,1583280000000
5,05558,A05-A14,W,2,0,1583280000000
5,05558,A15-A34,M,1,0,1583280000000
5,05558,A35-A59,M,1,0,1583280000000
5,05558,A35-A59,M,1,0,1583280000000
5,05558,A35-A59,M,1,0,1583280000000
5,05558,A35-A59,W,1,0,1583280000000
5,05558,A35-A59,W,2,0,1583280000000
5,05558,A80+,M,1,0,1583280000000
5,05766,A35-A59,W,1,0,1583280000000
5,05911,A60-A79,M,1,0,1583280000000
5,05962,A35-A59,M,1,0,1583280000000
5,05962,A35-A59,W,1,0,1583280000000
6,06412,A35-A59,M,1,0,1583280000000
6,06434,A35-A59,W,1,0,1583280000000
7,07111,A15-A34,W,1,0,1583280000000
7,07315,A60-A79,W,1,0,1583280000000
7,07332,A35-A59,W,1,0,1583280000000
7,07334,A35-A59,M,1,0,1583280000000
8,08111,A35-A59,W,1,0,1583280000000
8,08116,A15-A34,W,1,0,1583280000000
8,08116,A15-A34,W,2,0,1583280000000
8,08116,A35-A59,M,1,0,1583280000000
8,08116,A35-A59,W,2,0,1583280000000
8,08117,A35-A59,M,1,0,1583280000000
8,08118,A35-A59,M,1,0,1583280000000
8,08118,A60-A79,M,1,0,1583280000000
8,08125,A60-A79,M,1,0,1583280000000
8,08125,A80+,M,1,0,1583280000000
8,08125,A80+,W,1,0,1583280000000
8,08125,A80+,W,1,1,1583280000000
8,08128,A35-A59,W,1,0,1583280000000
8,08136,A15-A34,W,1,0,1583280000000
8,08136,A35-A59,W,1,0,1583280000000
8,08221,A35-A59,M,1,0,1583280000000
8,08221,A35-A59,M,1,0,1583280000000
8,08222,A15-A34,M,1,0,1583280000000
8,08222,A15-A34,W,1,0,1583280000000
8,08315,A35-A59,M,1,0,1583280000000
8,08316,A60-A79,W,1,0,1583280000000
8,08417,A15-A34,M,1,0,1583280000000
8,08417,A15-A34,M,1,0,1583280000000
8,08417,A15-A34,W,1,0,1583280000000
8,08417,A15-A34,W,1,0,1583280000000
8,08417,A35-A59,M,1,0,1583280000000
8,08417,A35-A59,M,1,0,1583280000000
8,08417,A35-A59,W,1,0,1583280000000
8,08417,A60-A79,M,1,0,1583280000000
8,08417,A60-A79,W,1,0,1583280000000
8,08421,A35-A59,M,1,0,1583280000000
8,08425,A15-A34,M,1,0,1583280000000
8,08425,A35-A59,M,2,0,1583280000000
8,08435,A35-A59,M,1,0,1583280000000
8,08437,A35-A59,M,1,0,1583280000000
9,09162,A35-A59,M,1,0,1583280000000
9,09162,A35-A59,M,1,0,1583280000000
9,09162,A35-A59,W,1,0,1583280000000
9,09178,A35-A59,M,1,0,1583280000000
9,09275,A15-A34,M,1,0,1583280000000
9,09372,A15-A34,W,1,0,1583280000000
9,09564,A35-A59,M,1,0,1583280000000
9,09564,A35-A59,W,1,0,1583280000000
9,09576,A35-A59,M,1,0,1583280000000
9,09771,A15-A34,W,1,0,1583280000000
