state,county,date,sex,age,caseState,count
9,9190,37,1,5,0,1
9,9190,37,1,5,1,1
9,9562,37,1,3,0,2
9,9564,37,0,3,0,1
9,9572,37,0,1,0,1
9,9572,37,0,2,0,1
9,9572,37,1,3,0,1
9,9663,37,1,2,0,1
9,9672,37,1,2,0,1
9,9775,37,1,3,0,1
9,9775,37,0,3,0,1
9,9780,37,0,3,0,1
11,11001,37,1,0,0,1
11,11001,37,0,2,0,1
11,11001,37,1,3,0,1
11,11001,37,0,3,0,1
11,11002,37,0,1,0,1
11,11002,37,1,3,0,1
11,11003,37,1,3,0,1
11,11003,37,0,3,0,1
11,11007,37,0,2,0,1
11,11012,37,1,3,0,1
11,11012,37,0,3,0,1
12,12063,37,0,3,0,1
13,13073,37,1,3,0,1
1,1056,38,0,4,0,1
1,1060,38,0,4,0,1
2,2000,38,1,2,0,1
2,2000,38,0,2,0,1
3,3241,38,1,3,0,1
3,3241,38,0,4,0,1
3,3353,38,1,0,0,1
3,3353,38,1,3,0,1
3,3353,38,0,3,0,1
3,3359,38,0,3,0,1
3,3459,38,1,4,0,1
5,5111,38,1,2,0,1
5,5112,38,1,3,0,1
5,5116,38,1,4,0,1
5,5158,38,0,3,0,1
5,5314,38,1,3,0,1
5,5315,38,1,2,0,1
5,5315,38,1,3,0,5
5,5315,38,0,3,0,2
5,5315,38,0,4,0,1
5,5334,38,1,2,0,2
5,5334,38,0,2,0,2
5,5334,38,1,3,0,2
5,5334,38,0,3,0,1
5,5334,38,1,4,0,1
5,5334,38,0,4,0,1
5,5370,38,1,2,0,1
5,5370,38,0,2,0,7
5,5370,38,1,3,0,6
5,5370,38,0,3,0,8
5,5370,38,1,4,0,4
5,5370,38,0,4,0,1
5,5382,38,0,3,0,1
5,5558,38,1,3,0,1
5,5758,38,1,4,0,1
5,5758,38,0,4,0,1
5,5770,38,0,3,0,1
5,5770,38,1,4,0,1
5,5911,38,0,4,0,1
5,5962,38,1,2,0,1
6,6633,38,1,3,0,1
7,7312,38,0,2,0,1
7,7315,38,0,4,0,1
8,8111,38,1,3,0,2
8,8116,38,0,2,0,1
8,8116,38,0,3,0,2
8,8119,38,1,3,0,1
8,8125,38,1,3,0,1
8,8125,38,0,4,0,1
8,8125,38,1,5,0,1
8,8125,38,0,5,0,1
8,8125,38,0,5,0,1
8,8125,38,0,5,1,1
8,8128,38,1,1,0,2
8,8128,38,0,1,0,1
8,8128,38,1,2,0,1
8,8128,38,0,2,0,1
8,8128,38,1,3,0,5
8,8128,38,0,3,0,5
8,8128,38,1,4,0,1
